bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1426683,2375718,text,9997,text/html,Amended,https://legiscan.com/CA/text/SB264/id/2375718,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB264
1426684,2262823,text,14939,text/html,Introduced,https://legiscan.com/CA/text/SB265/id/2262823,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB265
1426684,2324038,text,23867,text/html,Amended,https://legiscan.com/CA/text/SB265/id/2324038,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB265
1429109,2265497,text,4765,text/html,Introduced,https://legiscan.com/CA/text/SB266/id/2265497,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB266
1429109,2345712,text,5311,text/html,Amended,https://legiscan.com/CA/text/SB266/id/2345712,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB266
1429109,2380270,text,5694,text/html,Amended,https://legiscan.com/CA/text/SB266/id/2380270,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB266
1429110,2265498,text,11256,text/html,Introduced,https://legiscan.com/CA/text/SB267/id/2265498,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB267
1429111,2265499,text,16828,text/html,Introduced,https://legiscan.com/CA/text/SB268/id/2265499,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB268
1429111,2356655,text,15265,text/html,Amended,https://legiscan.com/CA/text/SB268/id/2356655,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB268
1429112,2265500,text,37302,text/html,Introduced,https://legiscan.com/CA/text/SB269/id/2265500,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB269
1429112,2316410,text,27042,text/html,Amended,https://legiscan.com/CA/text/SB269/id/2316410,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB269
1429113,2265501,text,11365,text/html,Introduced,https://legiscan.com/CA/text/SB270/id/2265501,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB270
1429113,2373415,text,12320,text/html,Amended,https://legiscan.com/CA/text/SB270/id/2373415,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB270
1429114,2265502,text,9623,text/html,Introduced,https://legiscan.com/CA/text/SB271/id/2265502,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB271
1430809,2267285,text,8845,text/html,Introduced,https://legiscan.com/CA/text/SB272/id/2267285,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB272
1430809,2331036,text,256237,text/html,Amended,https://legiscan.com/CA/text/SB272/id/2331036,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB272
1430810,2267286,text,12024,text/html,Introduced,https://legiscan.com/CA/text/SB273/id/2267286,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB273
1430811,2267287,text,8773,text/html,Introduced,https://legiscan.com/CA/text/SB274/id/2267287,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB274
1430811,2356749,text,9251,text/html,Amended,https://legiscan.com/CA/text/SB274/id/2356749,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB274
1430812,2267288,text,5479,text/html,Introduced,https://legiscan.com/CA/text/SB275/id/2267288,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB275
1430813,2267289,text,30880,text/html,Introduced,https://legiscan.com/CA/text/SB276/id/2267289,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB276
1430813,2336715,text,33184,text/html,Amended,https://legiscan.com/CA/text/SB276/id/2336715,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB276
1430813,2339807,text,70417,text/html,Amended,https://legiscan.com/CA/text/SB276/id/2339807,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB276
1430814,2267290,text,71002,text/html,Introduced,https://legiscan.com/CA/text/SB277/id/2267290,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB277
1430814,2348522,text,58469,text/html,Amended,https://legiscan.com/CA/text/SB277/id/2348522,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB277
1430815,2267291,text,22180,text/html,Introduced,https://legiscan.com/CA/text/SB278/id/2267291,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB278
1430815,2345682,text,23246,text/html,Amended,https://legiscan.com/CA/text/SB278/id/2345682,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB278
1430816,2267292,text,5889,text/html,Introduced,https://legiscan.com/CA/text/SB279/id/2267292,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB279
1430816,2310618,text,23340,text/html,Amended,https://legiscan.com/CA/text/SB279/id/2310618,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB279
1430816,2375792,text,41061,text/html,Amended,https://legiscan.com/CA/text/SB279/id/2375792,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB279
1433176,2269972,text,10298,text/html,Introduced,https://legiscan.com/CA/text/SB280/id/2269972,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB280
1433177,2269973,text,29970,text/html,Introduced,https://legiscan.com/CA/text/SB281/id/2269973,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB281
1433177,2321885,text,34098,text/html,Amended,https://legiscan.com/CA/text/SB281/id/2321885,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB281
1433177,2341702,text,30541,text/html,Amended,https://legiscan.com/CA/text/SB281/id/2341702,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB281
1433178,2269974,text,4590,text/html,Introduced,https://legiscan.com/CA/text/SB282/id/2269974,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB282
1433179,2269975,text,5849,text/html,Introduced,https://legiscan.com/CA/text/SB283/id/2269975,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB283
1433179,2330999,text,14911,text/html,Amended,https://legiscan.com/CA/text/SB283/id/2330999,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB283
1433180,2269976,text,10495,text/html,Introduced,https://legiscan.com/CA/text/SB284/id/2269976,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB284
1433180,2338318,text,9982,text/html,Amended,https://legiscan.com/CA/text/SB284/id/2338318,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB284
1433181,2269977,text,13133,text/html,Introduced,https://legiscan.com/CA/text/SB285/id/2269977,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB285
1433181,2338307,text,13990,text/html,Amended,https://legiscan.com/CA/text/SB285/id/2338307,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB285
1433182,2269978,text,9649,text/html,Introduced,https://legiscan.com/CA/text/SB286/id/2269978,http://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB286
